start,cost,max_error,rmse,nfev,wall_s,admissible,converged,res_inf
1,1.2985747332040335e-16,4.535249953363518e-11,1.577048824583622e-11,6000,1.2991426439998577,True,False,8.276816509944496e-09
2,1.1196129193753554e-15,2.162350298817728e-10,5.705309508743619e-11,6000,1.324694634000025,True,False,2.9712951044036373e-08
3,5.964606466146974e-16,1.0597100974507612e-10,3.8660812857068925e-11,6000,1.1910466009999254,True,False,1.7861818302211674e-08
4,1.0422354807228148e-06,1.4601852249551683e-06,7.20259545944486e-07,79,0.013841039999988425,True,True,0.0007822414516405751
5,6.049335702529428e-16,1.2340928279286345e-10,3.6190592655593245e-11,6000,1.2319826570001169,True,False,2.4855226654629803e-08
6,1.0723387326944e-06,1.7335577189303564e-06,7.667916272200957e-07,95,0.020828412000128083,True,True,0.0007002490770872671
7,1.9368312618029154e-16,6.123723750306453e-11,2.2447767236224928e-11,6000,1.394654583999909,True,False,1.3093519934948006e-08
8,6.792680955459906e-09,3.6859097196639823e-07,1.1635552521436422e-07,6000,1.3160335979998763,True,False,7.594523654269603e-05
9,5.642341036167784e-15,2.6540925013307515e-10,1.2727730543390298e-10,6000,1.21997862000012,True,False,4.448028956272054e-08
10,1.0429623202349822e-15,1.9450296928624766e-10,5.2145997479867944e-11,6000,1.2082501170000342,True,False,2.708887097968571e-08
11,1.0036540726722905e-07,9.822640802958915e-07,3.414448313955702e-07,227,0.046657208999931754,True,True,0.0001969891037332805
12,3.110395691324964e-16,1.0955303331172672e-10,3.1212211273738465e-11,6000,1.3584866740000052,True,False,1.3465283832392316e-08
13,4.806074633500274e-16,1.1532375054912336e-10,3.481236206278833e-11,6000,1.2282742580000559,True,False,2.0658550814456333e-08
14,7.033614543854353e-17,2.7826740911507386e-11,9.513739196509351e-12,6000,1.1752906299998358,True,False,5.627770249816422e-09
15,1.3167824156283774e-15,9.867751060710361e-11,3.965859292575187e-11,6000,1.2901745570000003,True,False,2.0627802521655525e-08
16,1.4247500083524818e-17,1.5019985255548818e-11,4.920749544411097e-12,6000,1.2016170710001006,True,False,2.9163195747194948e-09
17,1.0484118968263332e-07,2.20722753785374e-06,5.659776033529321e-07,6000,1.4999908669999513,True,False,0.0003104720629896196
18,1.5332015754684862e-16,3.959543803944143e-11,1.3458575527481533e-11,6000,1.1322239870000885,True,False,8.958948138904077e-09
19,1.0793573821749325e-16,3.427824690760417e-11,1.1749714498740669e-11,6000,1.1585379139999077,True,False,6.942365848860987e-09
20,1.0669677068115905e-16,3.416744664974658e-11,1.165529833719505e-11,6000,1.0737141029999293,True,False,6.877352742851173e-09
