start,cost,max_error,rmse,nfev,wall_s,admissible,converged,res_inf
1,6.402303663432932e-15,3.2787128567690615e-10,1.2550705769591934e-10,6000,1.0886589050000168,True,False,5.5491538697438614e-08
2,1.8457328248983492e-16,4.6759596195045106e-11,1.6081381999218525e-11,6000,1.1358096790000047,True,False,8.896185510476329e-09
3,3.619272269928487e-15,2.2287738321580264e-10,8.23386987379807e-11,6000,1.063235345999999,True,False,4.355489241492094e-08
4,4.675455957617154e-15,2.3664459281036443e-10,8.39841848698625e-11,6000,1.2424276399999883,True,False,5.4758497791684846e-08
5,4.524733559079901e-15,2.659790165893128e-10,9.558256496982502e-11,6000,1.1432929769999873,True,False,5.293070692857782e-08
6,2.1095506981762594e-14,4.698219591148245e-10,1.7134470127760873e-10,6000,1.142500087000002,True,False,9.005707324316603e-08
7,1.0574915281287342e-15,1.3870427029161192e-10,4.729659177570742e-11,6000,1.1072657389999847,True,False,2.6980382039631934e-08
8,1.3617401760402852e-13,1.428707374628857e-09,4.6243126008267795e-10,6000,1.1410092689999942,True,False,2.9422059655281885e-07
9,1.644879346025893e-14,4.5272141591112813e-10,2.1009171894357722e-10,6000,1.0651476190000153,True,False,7.57774043513848e-08
10,3.3343100383859183e-16,7.645151178792275e-11,2.5512357194379293e-11,6000,1.1197343599999954,True,False,1.3717072311347778e-08
11,3.0942575141291806e-14,6.860267909303275e-10,2.553641474581192e-10,6000,1.1603079150000042,True,False,1.4455147923086997e-07
12,7.341869012062423e-16,9.470990658400069e-11,3.6895940161426467e-11,6000,1.101668587000006,True,False,1.8776467158865273e-08
13,4.0151246049871546e-15,2.082510830447859e-10,7.313201655149309e-11,6000,1.0768824310000014,True,False,3.911868440287236e-08
14,8.776565420754442e-14,1.0173426545634356e-09,3.519531588725054e-10,6000,1.3821563589999926,True,False,1.956250439416607e-07
15,1.2274679660233876e-14,3.702119721893382e-10,1.4240268409610866e-10,6000,1.1006720540000003,True,False,6.462463991718792e-08
16,2.8539532621661813e-16,5.034217487320802e-11,1.9001842393774325e-11,6000,1.0867990879999923,True,False,9.875350426291618e-09
17,3.030457556846459e-15,1.9442125687163525e-10,6.674400156229525e-11,6000,1.1833491470000013,True,False,3.76295044013375e-08
18,3.51536218996791e-15,1.3059253678449068e-10,5.4187112473819946e-11,6000,1.149430532999986,True,False,3.293609190935243e-08
19,2.869526654362342e-13,2.0246944121282695e-09,7.42690033711418e-10,6000,1.4586538670000095,True,False,4.0056232780694145e-07
20,3.213224833634472e-15,2.1141866035634393e-10,6.957696101674233e-11,6000,1.337914732999991,True,False,4.033713896234303e-08
