start,cost,max_error,rmse,nfev,wall_s,admissible,converged,res_inf
1,7.233252016449163e-16,5.325662133515152e-11,2.4524933034550482e-11,6000,1.6124751800000467,True,False,1.495262264006314e-08
2,1.847947388016555e-15,1.6287626802835575e-10,6.492403513025716e-11,4852,1.4674334689998432,True,True,2.313563618461245e-08
3,8.4916972478316965e-16,1.2075673794242903e-10,4.3740924545908856e-11,6000,1.6364684249999755,True,False,2.550418731761539e-08
4,5.989370435355621e-15,2.762690076707486e-10,1.2136159589276723e-10,6000,1.7273879350000243,True,False,4.125276070743311e-08
5,1.392540183454527e-15,8.068623547075049e-11,3.828624475600088e-11,6000,1.652267510999991,True,False,2.01841861002805e-08
6,1.904318187776057e-15,9.705469761200902e-11,4.5797676811539825e-11,6000,1.688490688999991,True,False,2.3091864809199336e-08
7,1.195398108306922e-16,3.034372753063508e-11,1.1696737348218834e-11,6000,1.8740376240000387,True,False,7.427463810660839e-09
8,1.1770337522587973e-14,3.53510887229902e-10,1.5268666215899915e-10,6000,1.6316688409999642,True,False,7.677441055120582e-08
9,6.949050889752238e-13,2.318086167463207e-09,8.898553127004099e-10,6000,1.753670306999993,True,False,4.798699738683965e-07
10,7.455094436541366e-16,4.200462200287802e-11,2.3772043692179126e-11,3519,1.0696419969999624,True,True,1.7239427330117962e-08
11,1.3038609095129741e-15,7.645417632318185e-11,3.678696660997925e-11,6000,1.6948390079999172,True,False,1.9556865349379393e-08
12,5.0219559024707e-16,8.369260839913295e-11,3.238724700786977e-11,6000,1.6716821319998871,True,False,1.77796387057505e-08
13,2.262692802745205e-15,1.5244416839976793e-10,6.41187936487517e-11,6000,1.715798518999918,True,False,3.1042607928633004e-08
14,1.664492368949044e-15,9.497913566747229e-11,4.248912605342961e-11,6000,1.6076742770001147,True,False,2.1712184827826775e-08
15,1.0248658774258472e-14,1.6037793315604176e-10,8.558352085973228e-11,6000,1.719436848999976,True,False,6.140819830413591e-08
16,2.1902454108098593e-15,1.422493234315425e-10,5.331275213659592e-11,6000,1.5015010229999461,True,False,2.58718643175726e-08
17,3.323617401840798e-16,3.267275339169373e-11,1.6255431615653143e-11,6000,1.5980193590000908,True,False,1.037321240016098e-08
18,6.445997566768334e-17,2.4330426562357843e-11,8.13271749454836e-12,6000,1.5714304999999058,True,False,5.335351160873358e-09
19,1.1647495824197434e-15,6.900202631499042e-11,3.5546500478601835e-11,6000,1.5875367109999843,True,False,1.827687434730052e-08
20,2.396270545064605e-15,1.5231582661812126e-10,5.636804269212277e-11,6000,1.7071812120000232,True,False,2.7051362427865655e-08
