start,cost,max_error,rmse,nfev,wall_s,admissible,converged,res_inf
1,1.0685389806462711e-26,2.8488322811881517e-13,1.424672819584859e-13,687,0.12310123800011752,True,True,7.578399713326078e-14
2,6.187802262728521e-35,5.551115123125783e-17,2.157389788363665e-17,60,0.010908626000173172,True,True,6.5052130349130266e-18
3,1.1584894125598696e-25,5.716815909551087e-13,3.2423323218142155e-13,47,0.007284615999878952,True,True,1.9113703675355254e-13
4,6.316993793861294e-32,3.941291737419306e-15,1.5523284273688057e-15,707,0.12267809100012528,True,True,1.6479873021779667e-16
5,2.6390329729135458e-11,5.899825489374955e-06,3.472962729018423e-06,3000,0.5674881349998486,True,False,5.032494222106682e-06
6,1.6369163771532477e-14,2.722883256228714e-07,1.1781726722996881e-07,3000,0.5656190099998639,True,False,1.1525835023158335e-07
7,4.564360106845223e-25,1.4577505869084462e-12,8.221076125335205e-13,531,0.0941490719999365,True,True,4.598986122483772e-13
8,3.3712555251695914e-29,1.4405143744511406e-14,7.672017575288877e-15,275,0.04563158599989947,True,True,4.172009959724221e-15
9,4.785320049673623e-15,1.8325780515304757e-07,8.213690032970694e-08,1392,0.292114230000152,True,True,6.248315298149065e-08
10,3.9036846284868804e-26,4.4458881021114394e-13,2.384418926964644e-13,51,0.01126943700000993,True,True,1.1849332279267877e-13
11,3.606416668322778e-34,1.3877787807814457e-16,6.115156560016991e-17,49,0.009683521999932054,True,True,2.0816681711721685e-17
12,4.323214861996748e-11,8.602184601413931e-06,5.168729901339596e-06,3000,0.529461215000083,True,False,7.521861158875896e-06
13,9.856926016352084e-24,9.348272156373127e-12,4.231030920537175e-12,111,0.021795447999920725,True,True,2.4812339682878104e-12
14,8.039620330949863e-16,1.1370404376376264e-07,4.144594001880714e-08,3000,0.5427733569999873,True,False,3.0699643623240125e-08
15,1.8738866180929926e-11,8.571711712840324e-06,3.5962655766223564e-06,3000,0.504685870000003,True,False,3.624731011962583e-06
16,2.0303410692761094e-14,3.9487229019918857e-07,1.4627099939508737e-07,399,0.0774063199999091,True,True,1.2481948420553848e-07
17,2.4617033423733827e-31,1.2212453270876722e-15,5.415153584610134e-16,186,0.03350953499989373,True,True,4.610027637408365e-16
18,9.85137824960194e-26,4.2378600628723007e-13,2.316605275291918e-13,38,0.006722185999933572,True,True,2.7151718373641387e-13
19,1.4891772450658694e-12,1.3030007398051602e-06,8.248396902469058e-07,139,0.02457204299980731,True,True,1.2715798409571044e-06
20,1.0429930340534531e-25,3.481659405224491e-13,2.1951818449217096e-13,237,0.040128022000089913,True,True,3.3009706079667467e-13
