start,cost,max_error,rmse,nfev,wall_s,admissible,converged,res_inf
1,5.088528511654972e-13,1.2333586595913992e-06,6.174947902429324e-07,297,0.05942916899999773,True,True,5.684694848557756e-07
2,1.8730556099554932e-11,8.662279387255944e-06,3.6279621917504818e-06,3000,0.49137441700003137,True,False,3.620741931594472e-06
3,4.545602415394572e-27,7.321920847402907e-14,4.509982601852297e-14,704,0.11487455299999283,True,True,7.040982380468463e-14
4,8.973958973047507e-32,2.275957200481571e-15,1.328268148306108e-15,798,0.14088424699997404,True,True,2.237793284010081e-16
5,1.1172048773491926e-31,1.176836406102666e-14,5.269488804241286e-15,109,0.020257544000003236,True,True,2.441623292437356e-16
6,4.053886320640606e-27,1.7180701306074297e-13,7.565954119306341e-14,123,0.022591929999975946,True,True,4.27904239819199e-14
7,5.786973360734637e-26,2.4913404672588513e-13,1.5984755356874054e-13,102,0.020791476999988845,True,True,2.519026653935441e-13
8,8.035286382987949e-13,1.6315683966650063e-06,8.834546670559938e-07,1943,0.45997102999996287,True,True,5.093514554156513e-07
9,4.909633488857331e-13,1.0633396814868634e-06,4.597580929075252e-07,1115,0.2761138299999857,True,True,6.50768161190949e-07
10,9.319362994953846e-14,4.3037232155818117e-07,1.9884274043718093e-07,284,0.05322706100002961,True,True,2.7687583650315775e-07
11,2.829713724337534e-25,1.521116566038927e-12,6.185517775934801e-13,79,0.01437959800000499,True,True,3.9200066803690703e-13
12,1.6742850365326433e-12,4.238157827962663e-06,1.5505020285267238e-06,1052,0.22242553300003465,True,True,1.3013677272774408e-06
13,7.592250281391545e-14,3.7512178169274435e-07,1.8911859699277913e-07,262,0.04531038800001852,True,True,2.3813103656230433e-07
14,1.6369877905822336e-31,2.7478019859472624e-15,1.4122140792605038e-15,240,0.046110876999989614,True,True,3.135512682828079e-16
15,1.9837903258408965e-27,1.3428147482841268e-13,6.121108959424263e-14,634,0.11501197799998408,True,True,3.989517050051461e-14
16,1.042258990390295e-13,4.3101555417812687e-07,2.3182849318233154e-07,554,0.1044502879999527,True,True,2.693466760557081e-07
17,2.15894505333181e-28,3.813616089587413e-14,1.5620503357981723e-14,70,0.01208703500003594,True,True,1.1921887088650607e-14
18,2.93837307620579e-11,5.816221510135389e-06,3.7984667916062656e-06,3000,0.4615719120000108,True,False,5.480721290225012e-06
19,9.31936299505055e-14,4.3037226285513874e-07,1.9884275311115386e-07,344,0.06483806800002867,True,True,2.7687582450667755e-07
20,2.93811995894997e-11,5.816570795236231e-06,3.7965025372391007e-06,3000,0.5224787050000259,True,False,5.480953762117009e-06
