start,cost,max_error,rmse,nfev,wall_s,admissible,converged,res_inf
1,9.710404868655082e-13,2.6224176304656677e-06,1.2484032313440277e-06,1373,0.48237427899994145,True,True,7.86963279258892e-07
2,1.027583337993286e-11,7.224324641813551e-06,2.958772879830115e-06,3000,0.7746651839997867,True,False,2.104263157354149e-06
3,4.492337567583995e-12,3.5274107663407772e-06,1.7761254083961553e-06,3000,0.729185267000048,True,False,1.7552227137476034e-06
4,1.026849982851351e-11,7.256824248930149e-06,2.973070065663003e-06,3000,0.7237478560000454,True,False,2.1033938155819686e-06
5,3.352980086285493e-33,1.4988010832439613e-15,7.624788866228976e-16,140,0.03631903200016495,True,True,4.119968255444917e-17
6,3.964933135408317e-30,4.6629367034256575e-15,2.396025954274932e-15,151,0.03721545500002321,True,True,1.4016565685892601e-15
7,1.4570733711187523e-25,4.3087755585702325e-13,2.754497250105939e-13,518,0.12944629499997973,True,True,4.15562115968493e-13
8,9.710404868484187e-13,2.6224176333522475e-06,1.2484032314457817e-06,1340,0.4067863860000216,True,True,7.869632793603733e-07
9,2.0996183644362994e-11,5.892137796795205e-06,3.1360020140170737e-06,3000,0.6999405850001494,True,False,4.509337521879566e-06
10,6.34795161308455e-33,6.938893903907228e-16,4.17334715351382e-16,173,0.040573244999905,True,True,4.8138576458356397e-17
11,3.1205755485729224e-27,1.2659318038288347e-13,6.5745164608354e-14,133,0.029225623000002088,True,True,3.790327426922424e-14
12,3.642790916192023e-11,7.1819513528526e-06,4.6692204484863474e-06,3000,0.6964119410001786,True,False,6.564281422261498e-06
13,5.699416807146142e-12,3.6583158083136613e-06,1.9735291386863756e-06,3000,0.7051039669997863,True,False,2.0316115718621575e-06
14,4.090598089449075e-32,2.0816681711721685e-15,1.011421642727445e-15,859,0.2148234080000293,True,True,1.5005358067199381e-16
15,1.7707206570007076e-28,2.65898414397725e-14,1.3743467504355377e-14,169,0.03983015299991166,True,True,8.046081162449426e-15
16,6.803497897785268e-30,3.316791286067655e-15,1.8430438929022762e-15,906,0.22914522399992165,True,True,2.0812344903031743e-15
17,1.4332590135693298e-12,1.5673941117233525e-06,8.263824897389351e-07,3000,0.7690886440000213,True,False,9.653366515459567e-07
18,5.602173513489509e-27,1.6503465261052952e-13,8.528977000110557e-14,140,0.033780284999920696,True,True,4.7623363585991285e-14
19,7.437569048613164e-32,2.1094237467877974e-15,1.3944184531327567e-15,898,0.20574525600000015,True,True,2.259477327459791e-16
20,9.177823793724853e-27,1.2159717677207027e-13,6.058931752351831e-14,643,0.1528600629999346,True,True,8.649201146959662e-14
