start,cost,max_error,rmse,nfev,wall_s,admissible,converged,res_inf
1,2.724640327838985e-05,0.9990234375,0.5039846370762092,66,0.026427504000025692,True,True,0.006950241920296977
2,1.3976297587682622e-06,0.7403755772289109,0.22616652079332136,696,0.25788137899999697,True,True,0.0015562825475943947
3,6.347983398555231e-06,0.9990102962332957,0.39221098765343426,800,0.2573632680000344,True,False,0.0033212264863370423
4,0.00048410150070593404,0.9990234375,0.6711698844097105,430,0.08029828100001168,True,False,0.028839113026218575
5,2.7246403279124114e-05,0.9990234375,0.5039849740216705,63,0.030019296999995504,True,True,0.006950245350243935
6,4.233895552791715e-34,6.661338147750939e-16,2.760376640633937e-16,637,0.2540093399999819,True,True,2.7755575615628914e-17
7,1.4127542792770114e-06,0.7572838343960617,0.230783953139146,800,0.2824531619999675,True,False,0.00158024597229552
8,2.7246403278390153e-05,0.9990234375,0.503984629272922,81,0.04673828899998966,True,True,0.0069502418413989
9,1.4134700599593502e-06,0.7778199053120555,0.23629015194009687,800,0.29158345000001873,True,False,0.0016054953513079387
10,1.4206259985255262e-06,0.7519732383026451,0.22944380970395611,800,0.28383356399999116,True,False,0.0015747887792947916
11,0.0004841015007244961,0.9990234375,0.6711698849216106,32,0.008973032000000103,True,True,0.028839112882599733
12,6.46848127446386e-06,0.9990169406256869,0.39560602261493977,480,0.10603709399998706,True,False,0.0033713351079234254
13,6.4716384410978925e-06,0.9990171320341465,0.39578757750484667,800,0.28263597800000184,True,False,0.0033735760254835095
14,2.6447911297771276e-05,0.9990234375,0.49880205025985197,43,0.020069465999995373,True,True,0.006790809838395122
15,1.4228204014925536e-06,0.758289809264622,0.23114012965391253,800,0.28498260100002426,True,False,0.0015831351277976137
16,2.5238333909894842e-33,8.881784197001252e-16,3.697377572596745e-16,369,0.18320941600001106,True,True,5.551115123125783e-17
17,1.4129452778446986e-06,0.757778392256705,0.23091727336942253,800,0.26722411500000476,True,False,0.0015808979892623588
18,0.0004841015007243695,0.9990234375,0.6711698844259311,56,0.008085494999988896,True,True,0.028839113047940602
19,0.00048410150117663987,0.9990234375,0.6711698851595999,55,0.0077032269999790515,True,True,0.028839113047588977
20,4.0573462930001896e-32,8.881784197001252e-16,3.9748747056468694e-16,793,0.26729056499999615,True,True,2.220446049250313e-16
