start,cost,max_error,rmse,nfev,wall_s,admissible,converged,res_inf
1,1.4237663702585803e-06,0.7615835491907854,0.23202163052881639,800,0.2637973410000143,True,False,0.001587319344730433
2,1.422837633243366e-06,0.75833874574874,0.23115329951961786,800,0.30667037500001015,True,False,0.00158319957302965
3,2.7301533291076218e-05,0.9990234375,0.5044843318356984,490,0.12145360400000982,True,False,0.006962606492607058
4,2.7301533646083152e-05,0.9990234375,0.5044843338492102,74,0.03807946099999526,True,True,0.006962606559414556
5,6.488698005373916e-06,0.9990180657869038,0.3967442211573108,800,0.2933087829999863,True,False,0.0033852471256438296
6,1.4253813665125857e-06,0.7652570263551999,0.23301897149635722,800,0.32242276700000616,True,False,0.0015922500129399607
7,1.7840184355707107e-06,0.9988469300569358,0.303536783030964,800,0.29648724199998355,True,False,0.0018291446752107935
8,1.4253792392964748e-06,0.7652513982684984,0.2330174499545783,800,0.3030526889999976,True,False,0.001592242672445368
9,6.524267712276952e-06,0.9990195863991341,0.39864473592265226,165,0.06668595200000027,True,True,0.003407714469627884
10,1.4252395793336546e-06,0.7648690629789693,0.2329141557921683,800,0.2673440770000184,True,False,0.0015917452863733338
11,1.425379147656771e-06,0.7652510780508902,0.23301736374398663,800,0.27132032000000095,True,False,0.0015922422636224086
12,6.834165463943419e-33,4.440892098500626e-16,1.8637803737331763e-16,760,0.27015535000001023,True,True,1.1102230246251565e-16
13,2.7301533646083955e-05,0.9990234375,0.5044843343312364,78,0.03117270900000335,True,True,0.006962606563623231
14,1.4242251741669482e-06,0.7630040251866973,0.23240654415892315,800,0.2768577310000069,True,False,0.0015892154683961402
15,2.7301533632074135e-05,0.9990234375,0.5044843347794697,451,0.09513944400001151,True,False,0.006962606565539139
16,1.4258425011317355e-06,0.7665139028458017,0.23335870862337346,800,0.26709444600001575,True,False,0.0015938828876472732
17,1.4253894287491027e-06,0.7652789795658933,0.23302490377621668,367,0.18444465499999296,True,True,0.0015922785761309968
18,1.4252348985484e-06,0.7648566239527725,0.2329107933017343,800,0.2922655250000048,True,False,0.001591729042089657
19,6.704767045804901e-33,2.220446049250313e-16,1.252500491805733e-16,774,0.2910419989999866,True,True,1.1102230246251565e-16
20,3.9824714170830377e-32,3.3306690738754696e-16,1.5339935537545145e-16,781,0.28235910899999794,True,True,2.220446049250313e-16
