start,cost,max_error,rmse,nfev,wall_s,admissible,converged,res_inf
1,2.2000930779170898e-31,1.3322676295501878e-15,4.987585738598098e-16,104,0.07692653600000199,True,True,6.106226635438361e-16
2,1.3706943566322648e-31,1.5543122344752192e-15,5.20740757162067e-16,148,0.09525478599999815,True,True,4.440892098500626e-16
3,3.25201104533609e-28,6.024070131616099e-13,2.1989175076951307e-13,356,0.24183988300001147,True,True,1.7773976734858365e-14
4,5.744276489219764e-32,7.771561172376096e-16,2.9563863510559767e-16,36,0.026136042000018733,True,True,2.498001805406602e-16
5,1.4998490947918567e-32,5.551115123125783e-16,2.9373740229761033e-16,230,0.14730303600001093,True,True,1.6653345369377348e-16
6,1.3261654551287657e-31,9.992007221626409e-16,3.4464090326972625e-16,199,0.12337361900000587,True,True,4.996003610813204e-16
7,5.944136389735271e-32,6.661338147750939e-16,3.279816178096679e-16,127,0.08640532699999426,True,True,3.3306690738754696e-16
8,3.8847173068686563e-32,1.1102230246251565e-15,4.0447372541201703e-16,193,0.12578322699999944,True,True,2.7755575615628914e-16
9,4.619079211839359e-29,4.1522341120980855e-14,1.7593158125151025e-14,407,0.27500120400000583,True,True,6.952771691715043e-15
10,3.223798990016654e-06,0.9190366493463041,0.31087697616158483,123,0.07558378199999538,True,True,0.001965809487669695
11,2.6563420081732515e-06,0.8635686374756876,0.27907681809143425,109,0.05812385000001541,True,True,0.0014340793325307737
12,4.107697300473876e-31,4.218847493575595e-15,1.5934698110350668e-15,222,0.14584532099999592,True,True,6.661338147750939e-16
13,2.2000930779170898e-31,1.3322676295501878e-15,4.987585738598098e-16,230,0.15460766000001058,True,True,6.106226635438361e-16
14,2.268750176465567e-31,2.6645352591003757e-15,8.938376668881127e-16,252,0.16368239199999834,True,True,5.828670879282072e-16
15,2.338580418376165e-31,1.1102230246251565e-15,4.998806418108466e-16,174,0.12204293400000665,True,True,5.828670879282072e-16
16,2.0719579047826835e-31,5.995204332975845e-15,1.9368973808733432e-15,217,0.14417474499998661,True,True,3.9898639947466563e-16
17,8.901860027039822e-33,7.771561172376096e-16,4.325856640924197e-16,62,0.04272073299998169,True,True,1.1102230246251565e-16
18,3.1390036093594873e-06,0.9129164464353058,0.30683053102204355,411,0.24247813999997447,True,True,0.0018985162357503193
19,3.263695412868786e-31,1.3322676295501878e-14,6.7619285632308896e-15,75,0.050771926000010126,True,True,6.106226635438361e-16
20,1.7384272995181168e-29,1.0291767438275201e-13,4.005651048233661e-14,471,0.2783593609999855,True,True,4.586608870482678e-15
