t,graininess,exact,ts_rbfnn,abs_error
0.0,0.04,1.0,1.0,0.0
0.04,0.060000000000000005,0.9338153998870273,0.9338153998870273,0.0
0.1,0.07999999999999999,0.8423144997175684,0.8423144997175684,0.0
0.18,0.10000000000000003,0.7348359965906663,0.7348359965906661,2.220446049250313e-16
0.28,0.12,0.622320659514718,0.6223206595147179,1.1102230246251565e-16
0.4,0.12,0.5158726785710251,0.5158726785710246,5.551115123125783e-16
0.52,0.09999999999999998,0.438459690317651,0.43845969031765153,5.551115123125783e-16
0.62,0.09999999999999998,0.3940059965160139,0.3940059965160136,3.3306690738754696e-16
0.72,0.08000000000000007,0.3637583966806688,0.36375839668066845,3.3306690738754696e-16
0.8,0.06999999999999995,0.3497729522420877,0.3497729522420877,0.0
0.87,0.06000000000000005,0.3441357207077034,0.34413572070770354,1.6653345369377348e-16
0.93,0.039999999999999925,0.3440635182980557,0.34406351829805576,5.551115123125783e-17
0.97,0.030000000000000027,0.34669138272251365,0.3466913827225136,5.551115123125783e-17
1.0,0.0,0.35,0.35,0.0
