best_max_error,median_max_error,q1,q3,success_rate,median_nfev,median_wall_s,m,parameters,residual_equations
8.373431322139524e-05,0.0015776043492607972,0.00031642316166907714,0.0025827655308195974,0.0,3000.0,0.7076375500000722,3,6,12
9.17953332102428e-06,0.0004564548831040849,4.7054843695881754e-05,0.0005916158165857888,0.0,3000.0,0.7129799879999155,4,8,12
5.539870576720674e-07,7.69754586270599e-05,5.664557040374607e-06,0.0001552254496381411,0.0,3000.0,0.7697445159999461,5,10,12
2.4162630962720755e-07,1.2621138248958275e-06,3.7081748627265654e-07,1.1108550996230537e-05,0.0,3000.0,0.7951944339999955,6,12,12
1.1102230246251565e-16,2.2257208787124227e-07,2.7755575615628914e-16,6.760919068482529e-07,0.4,3000.0,0.7762992529999337,7,14,12
1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,2.609024107869118e-15,0.8,549.0,0.2018702249999933,8,16,12
1.1102230246251565e-16,4.440892098500626e-16,2.220446049250313e-16,1.887379141862766e-15,0.9333333333333333,303.0,0.09062145400002919,9,18,12
1.1102230246251565e-16,8.992806499463768e-15,2.3869795029440866e-15,4.446443213623752e-14,0.9333333333333333,494.0,0.1837876370000231,10,20,12
2.220446049250313e-16,7.438494264988549e-15,1.4432899320127035e-15,3.7969627442180354e-14,1.0,140.0,0.048988190000045506,11,22,12
1.1102230246251565e-15,4.39648317751562e-14,1.5987211554602254e-14,7.044365091246618e-14,1.0,64.0,0.017992238999795518,12,24,12
