t,graininess,exact,ts_rbfnn,abs_error
0.0,0.04,1.0,1.0,0.0
0.04,0.060000000000000005,0.9615384615384615,0.9615384615384616,1.1102230246251565e-16
0.1,0.07999999999999999,0.9090909090909091,0.9090909090909092,1.1102230246251565e-16
0.18,0.10000000000000003,0.8474576271186441,0.847457627118644,1.1102230246251565e-16
0.28,0.12,0.78125,0.78125,0.0
0.4,0.12,0.7142857142857143,0.7142857142857143,0.0
0.52,0.09999999999999998,0.6578947368421053,0.6578947368421053,0.0
0.62,0.09999999999999998,0.6172839506172839,0.617283950617284,1.1102230246251565e-16
0.72,0.08000000000000007,0.5813953488372093,0.5813953488372094,1.1102230246251565e-16
0.8,0.06999999999999995,0.5555555555555556,0.5555555555555557,1.1102230246251565e-16
0.87,0.06000000000000005,0.53475935828877,0.5347593582887701,1.1102230246251565e-16
0.93,0.039999999999999925,0.5181347150259067,0.5181347150259067,0.0
0.97,0.030000000000000027,0.5076142131979695,0.5076142131979695,0.0
1.0,0.0,0.5,0.5,0.0
