start,cost,max_error,rmse,nfev,wall_s,admissible,converged,res_inf
1,2.3039002005610527e-15,2.4591595426670665e-10,9.315943326958126e-11,6000,1.4366419519999454,True,False,3.6020467830688574e-08
2,9.622575352207365e-11,3.5917608887103825e-08,1.5812104660527006e-08,4585,1.094085006000114,True,True,6.749163187658169e-06
3,3.7306622724114807e-16,9.807399337091738e-11,3.8188190440279245e-11,6000,1.5996118319999368,True,False,1.4368041478807214e-08
4,9.620163457711696e-11,3.5911412954447997e-08,1.580997415738994e-08,4623,1.2481301949999306,True,True,6.748384783261674e-06
5,2.168960308539512e-15,2.348610195213041e-10,9.060751751835047e-11,6000,1.4412728180000158,True,False,3.473037513135324e-08
6,9.621803195984602e-11,3.591613884079692e-08,1.5811446548617756e-08,4592,1.0709422689999428,True,True,6.7489242432938745e-06
7,3.1427017531242984e-16,9.045242332916814e-11,3.530032408895207e-11,6000,1.709387844000048,True,False,1.3199959236764869e-08
8,2.1905157633485062e-15,2.3423363249008844e-10,9.028828389467934e-11,6000,1.5708086449999428,True,False,3.4929586556486925e-08
9,9.622366266515617e-11,3.5917065654977876e-08,1.581191921790772e-08,4575,1.2310204309999335,True,True,6.749091912783278e-06
10,3.237041479685946e-15,1.7230783466715138e-10,8.712289426839171e-11,5820,1.7420277530000021,True,True,3.7519945150776834e-08
11,3.2370443896315627e-15,1.723288178823168e-10,8.713360658065241e-11,3399,0.8945769929998733,True,True,3.751512800409529e-08
12,5.357848522200309e-16,1.1625389539915432e-10,4.518990937970318e-11,6000,1.66304620599999,True,False,1.7184441813977713e-08
13,3.5247181943584677e-16,9.543543733059323e-11,3.718290412576516e-11,6000,1.6575359639998624,True,False,1.3968425804922191e-08
14,4.233647530240695e-16,1.0416423279480114e-10,4.051468940268658e-11,6000,1.7680118680000305,True,False,1.52981763923421e-08
15,1.2995658535290488e-14,6.946937469720638e-10,2.7599643618393474e-10,6000,1.5423942610000267,True,False,9.316908228251819e-08
