realisation,r_recurrence,r_rbfnn,rel_err_recurrence,rel_err_rbfnn
1,0.029978993322585634,0.029969344677410872,0.0007002225804788228,0.001021844086304217
2,0.030206927116952446,0.030218426929719988,0.006897570565081562,0.007280897657332974
3,0.029997328141760045,0.03000239288133339,8.906194133180094e-05,7.976271111306832e-05
4,0.030078026145538388,0.030066489803246065,0.0026008715179462925,0.0022163267748688776
5,0.029900029193786034,0.029896870420552165,0.003332360207132165,0.0034376526482611295
6,0.029945392207279323,0.029946837731018937,0.0018202597573558493,0.0017720756327020692
7,0.030095071617943597,0.03009355616955562,0.0031690539314532576,0.003118538985187371
8,0.030068200790450278,0.030087923583490737,0.0022733596816759682,0.0029307861163579514
9,0.029753221473642323,0.029757907787152454,0.008225950878589194,0.008069740428251482
10,0.030186764832784707,0.030182190590777175,0.006225494426156941,0.006073019692572531
11,0.029825720235289753,0.029816838668248535,0.005809325490341531,0.006105377725048808
12,0.0302724917694699,0.030268571286669065,0.009083058982330024,0.008952376222302189
13,0.030026497490220422,0.030013306372246813,0.0008832496740141204,0.0004435457415604786
14,0.029795041475674872,0.029789150523113775,0.006831950810837553,0.007028315896207468
15,0.030100229964085196,0.030102651377529942,0.003340998802839913,0.0034217125843314516
