start,r0,r_hat,rel_error_r,traj_max_error_population
1,0.02,0.029805914802794004,0.006469506573533157,1.9857968920348745
2,0.03,0.029805838458274912,0.006472051390836222,1.9860115949535406
3,0.04,0.029806020576792207,0.00646598077359307,1.98550880259879
4,0.05,0.029805838414856088,0.006472052838130358,1.9860117598048954
5,0.01,0.029806113535325775,0.006462882155807449,1.9852692165985286
6,0.02,0.029806113468164475,0.006462884394517476,1.9852691289805602
7,0.03,0.02980567243903551,0.006477585365482925,1.9864585948077274
8,0.04,0.029805910948354292,0.006469635054856884,1.9858132415576102
9,0.05,0.029806100358982353,0.006463321367254869,1.9853006288546582
10,0.01,0.029806113461414346,0.006462884619521751,1.9852694796565484
11,0.02,0.029806113463459665,0.006462884551344458,1.9852690912101068
12,0.03,0.029805606378286754,0.006479787390441481,1.9866372443251845
13,0.04,0.02980567249918364,0.0064775833605452745,1.9864584278048159
14,0.05,0.02980610606272083,0.006463131242638934,1.9852897683072523
15,0.01,0.029805837888986535,0.006472070367115451,1.986013293787392
