day,reference_population,ts_rbfnn_population,abs_error_population,certificate_population
0.0,80.0,80.0,0.0,0.0
1.0,82.208,82.20800000000004,4.163336342344337e-14,4.336808689942018e-14
2.0,84.47149534207999,84.47149534208009,9.71445146547012e-14,9.280770596475918e-14
4.0,89.11165905108517,89.11165905108535,1.8041124150158794e-13,1.7643872474160107e-13
7.0,96.41702846558753,96.41702846558786,3.3306690738754696e-13,3.367339393434143e-13
11.0,106.87152267608197,106.87152267608245,4.85722573273506e-13,5.003073788589774e-13
16.0,121.18902272362861,121.18902272362922,6.106226635438361e-13,6.404056160369542e-13
22.0,140.35942655271427,140.35942655271495,6.661338147750939e-13,7.973119903470492e-13
29.0,165.69774471812084,165.69774471812156,6.938893903907228e-13,1.0315343621450368e-12
37.0,198.87582522534868,198.87582522534925,5.551115123125783e-13,1.5150250017926912e-12
46.0,241.8933676942457,241.89336769424602,3.0531133177191805e-13,2.251944489236334e-12
56.0,296.90765760218034,296.90765760218034,0.0,3.274472531202596e-12
