start,max_error,nfev,wall_s,admissible,converged
1,0.9990048977877293,5000,1.374753235000071,True,False
2,0.999023437002665,5000,1.2641511500000888,True,False
3,0.9990231506027376,5000,1.273329424999929,True,False
4,0.9990234371630086,5000,1.2925491329999659,True,False
5,0.999021966057232,5000,1.2746697269999459,True,False
6,0.9990215788074741,573,0.14397626100003436,True,True
7,3.5638159090467525e-14,3087,0.7290721429999394,True,True
8,0.9990232529826971,5000,1.420740318000071,True,False
9,0.9990234106776201,5000,1.2754014209999696,True,False
10,0.9988515848439663,5000,1.2968889010001021,True,False
11,0.999023437207286,5000,1.1723624420001215,True,False
12,1.354472090042691e-14,595,0.15257013600012215,True,True
13,0.999017157492968,5000,1.221494709999888,True,False
14,0.9990234364406132,5000,1.2403056079999715,True,False
15,0.9990218070318939,5000,1.3903531470000416,True,False
16,0.9962378067455625,5000,1.352551935000065,True,False
17,0.9989846350807031,5000,1.217149180999968,True,False
18,0.9990234371612206,5000,1.3006842859999779,True,False
19,0.9990234371246565,5000,1.401579030999983,True,False
20,9.658940314238862e-14,397,0.09479392000002917,True,True
