start,max_error,nfev,wall_s,admissible,converged
1,2.0386400048089115e-06,896,0.1563999170000443,True,True
2,0.8639267236293644,128,0.022861000999910175,True,True
3,0.28353598427162197,347,0.06188009099992087,True,True
4,6.12378381359413e-06,1334,0.2515656659998058,True,True
5,0.25637593907684153,328,0.057448255999815956,True,True
6,6.0173509306427064e-06,1002,0.185217873000056,True,True
7,4.4877171238022484e-05,1031,0.17949283099983404,True,True
8,8.837985705578699e-05,1791,0.32887275600000976,True,True
9,0.35825526237832606,730,0.15472151500011933,True,True
10,0.9190452886044455,227,0.046342275999904814,True,True
11,0.8636699657811442,631,0.11809622999999192,True,True
12,0.8638750662935977,343,0.0626439059999484,True,True
13,0.2872327127145795,1701,0.3058814490000259,True,True
14,0.2566535052357687,386,0.0721469640000123,True,True
15,0.35829158073365697,556,0.09748015100012708,True,True
16,0.2839435358903212,296,0.05298522999987654,True,True
17,0.8635750116232064,194,0.036915157000066756,True,True
18,0.8635800989504601,275,0.05405132800001411,True,True
19,0.25668147405751773,288,0.05037724600015281,True,True
20,0.9145022887447851,5001,0.8658419910000248,True,False
