start,max_error,nfev,wall_s,admissible,converged
1,4.440892098500626e-16,92,0.009422090000043681,False,True
2,1.4099832412739488e-14,243,0.022167527999954473,True,True
3,7.771561172376096e-16,102,0.00981279400002677,True,True
4,4.218847493575595e-15,262,0.025169328999936624,True,True
5,7.771561172376096e-16,204,0.018805325000130324,True,True
6,3.3306690738754696e-16,53,0.00506275300017478,True,True
7,8.104628079763643e-15,656,0.06490827899983742,True,True
8,7.771561172376096e-16,438,0.03943681800001286,True,True
9,1.3877787807814457e-14,409,0.037161848999858194,False,True
10,0.9965865021410566,95,0.008078021000073932,False,True
11,9.992007221626409e-16,428,0.03971705800017844,True,True
12,2.55351295663786e-15,708,0.06617332399991938,True,True
13,8.104628079763643e-15,383,0.03443576400013626,True,True
14,2.9976021664879227e-15,579,0.054986672000040926,True,True
15,1.432187701766452e-14,257,0.023298292999925252,True,True
16,0.9968645885864629,142,0.011724152999931903,False,True
17,2.220446049250313e-16,63,0.0060108289999334374,True,True
18,4.440892098500626e-16,438,0.04317615799982377,True,True
19,1.1102230246251565e-15,632,0.06363155200006076,True,True
20,8.404388296412435e-13,1420,0.1415608530001009,True,True
