start,max_error,nfev,wall_s,admissible,converged
1,0.8635686538735496,93,0.023859484000013254,True,True
2,8.43769498715119e-15,282,0.07303599000010763,True,True
3,7.66053886991358e-15,67,0.016069072999925993,True,True
4,1.021405182655144e-14,280,0.07255069600000752,True,True
5,1.1102230246251565e-15,237,0.0553656150000279,True,True
6,0.8635686538890552,90,0.022263057999907687,True,True
7,9.769962616701378e-15,570,0.1471404020001046,True,True
8,2.220446049250313e-15,359,0.09595363500011445,True,True
9,1.4654943925052066e-14,350,0.10678775099995619,True,True
10,0.9190366507542133,88,0.02512010099985673,True,True
11,6.661338147750939e-16,400,0.11447813000017959,True,True
12,7.549516567451064e-15,596,0.16263726700003645,True,True
13,1.1657341758564144e-14,345,0.08132376900016425,True,True
14,5.10702591327572e-15,581,0.13371819299982235,True,True
15,1.4432899320127035e-14,301,0.0815959940000539,True,True
16,4.3298697960381105e-15,536,0.12662781399990308,True,True
17,3.3306690738754696e-16,36,0.010384304999888627,True,True
18,6.661338147750939e-16,419,0.12276047499995002,True,True
19,3.774758283725532e-15,567,0.14938256899995395,True,True
20,5.3512749786932545e-14,576,0.13388881700007005,True,True
