t,exact,ts_rbfnn,abs_error,certificate
1.0,1.0,1.0,0.0,0.0
2.0,0.5,0.5,0.0,0.0
4.0,0.25,0.25000000000000033,3.3306690738754696e-16,3.3306690738754696e-16
8.0,0.125,0.125,0.0,6.661338147750939e-16
16.0,0.0625,0.06250000000000011,1.1102230246251565e-16,1.1102230246251565e-15
32.0,0.03125,0.031249999999999778,2.220446049250313e-16,1.942890293094024e-15
64.0,0.015625,0.015625,0.0,3.0253577421035516e-15
128.0,0.0078125,0.007812500000000222,2.220446049250313e-16,4.760081218080359e-15
256.0,0.00390625,0.003906250000000555,5.551115123125783e-16,7.5842110369706e-15
512.0,0.001953125,0.001953125000000333,3.3306690738754696e-16,1.1431827706687159e-14
1024.0,0.0009765625,0.0009765625000005551,5.551115123125783e-16,1.7536319618649543e-14
