$t$,exact $y(t)=1/t$,RBFNN $y_a(t)$,error $e(t)$,certificate $B(t)$
1,1.0,1.0,0.0,0.0
2,0.5,0.5,0.0,5.551115123125783e-17
4,0.25,0.2499999999999999,1.1102230246251565e-16,2.498001805406602e-16
8,0.125,0.12499999999999989,1.1102230246251565e-16,4.3021142204224816e-16
16,0.0625,0.06250000000000067,6.661338147750939e-16,1.5681900222830336e-15
32,0.03125,0.03125000000000011,1.1102230246251565e-16,2.5882074261573966e-15
64,0.015625,0.015625000000000222,2.220446049250313e-16,4.114764085016988e-15
128,0.0078125,0.007812500000000111,1.1102230246251565e-16,6.314393452555582e-15
256,0.00390625,0.003906249999999667,3.3306690738754696e-16,9.849759896596319e-15
512,0.001953125,0.001953124999999889,1.1102230246251565e-16,1.4845763507409528e-14
1024,0.0009765625,0.000976562499999889,1.1102230246251565e-16,2.2393111670515637e-14
